portfolio_id,ticker,weight_pct
P1_VALID_BALANCED,VTI,22.0
P1_VALID_BALANCED,VXUS,18.0
P1_VALID_BALANCED,BND,20.0
P1_VALID_BALANCED,AGG,10.0
P1_VALID_BALANCED,VNQ,10.0
P1_VALID_BALANCED,XLK,8.0
P1_VALID_BALANCED,XLF,7.0
P1_VALID_BALANCED,GLD,5.0
P2_TOO_MUCH_US_EQUITY,VOO,35.0
P2_TOO_MUCH_US_EQUITY,QQQ,20.0
P2_TOO_MUCH_US_EQUITY,XLK,15.0
P2_TOO_MUCH_US_EQUITY,XLF,10.0
P2_TOO_MUCH_US_EQUITY,IWM,10.0
P2_TOO_MUCH_US_EQUITY,BND,10.0
P3_CONCENTRATED,VT,55.0
P3_CONCENTRATED,BND,25.0
P3_CONCENTRATED,GLD,20.0
P4_INVALID_TOTAL_WEIGHT,VTI,30.0
P4_INVALID_TOTAL_WEIGHT,VXUS,20.0
P4_INVALID_TOTAL_WEIGHT,BND,20.0
P4_INVALID_TOTAL_WEIGHT,VNQ,15.0
P4_INVALID_TOTAL_WEIGHT,GLD,8.0
P5_UNKNOWN_INSTRUMENT,VTI,25.0
P5_UNKNOWN_INSTRUMENT,VXUS,20.0
P5_UNKNOWN_INSTRUMENT,BND,20.0
P5_UNKNOWN_INSTRUMENT,VNQ,10.0
P5_UNKNOWN_INSTRUMENT,MYST,25.0
P6_NEAR_LIMITS,VOO,30.0
P6_NEAR_LIMITS,VXUS,20.0
P6_NEAR_LIMITS,BND,10.0
P6_NEAR_LIMITS,LQD,10.0
P6_NEAR_LIMITS,VNQ,10.0
P6_NEAR_LIMITS,GLD,10.0
P6_NEAR_LIMITS,XLF,10.0
P7_DEFENSIVE,BND,25.0
P7_DEFENSIVE,AGG,20.0
P7_DEFENSIVE,TIP,10.0
P7_DEFENSIVE,BNDX,10.0
P7_DEFENSIVE,CASH,20.0
P7_DEFENSIVE,VNQ,5.0
P7_DEFENSIVE,VTI,5.0
P7_DEFENSIVE,GLD,5.0
